               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067341,            0.020274,            0.069803,             0.32741,             0.30072,             0.20795,              0.1199,            0.035191,            0.010519,            0.062363,           0.0033294,           0.0033294,            0.070035
                   1,             0.04607,            0.014722,            0.052566,             0.54489,             0.48877,             0.48977,             0.24156,            0.037003,            0.007987,            0.038338,           0.0066568,           0.0066568,            0.040029
                   2,            0.049094,            0.013599,            0.033655,             0.62382,             0.56082,             0.54224,             0.26108,            0.040365,           0.0079831,             0.02308,           0.0099606,           0.0099606,           0.0099999
                   3,            0.047488,            0.014194,            0.027794,             0.66662,             0.53457,             0.54309,             0.29477,             0.04095,           0.0081343,              0.0188,           0.0099203,           0.0099203,           0.0099203
                   4,             0.04333,            0.013268,            0.022164,             0.72653,             0.67323,             0.67267,             0.38274,            0.035715,            0.006993,            0.012437,           0.0099203,           0.0099203,           0.0099203
                   5,            0.040234,            0.012985,            0.019595,             0.74912,             0.66575,             0.68699,             0.39297,            0.033815,            0.007024,            0.011189,           0.0098586,           0.0098586,           0.0098586
                   6,            0.038187,            0.012412,            0.017187,             0.80382,             0.69479,             0.71296,              0.4471,            0.031279,           0.0068465,            0.010257,           0.0097798,           0.0097798,           0.0097798
                   7,            0.036653,             0.01223,            0.015514,             0.80041,             0.68832,             0.72548,             0.46655,            0.030674,            0.006505,           0.0088379,            0.009684,            0.009684,            0.009684
                   8,            0.034886,            0.012011,            0.014409,             0.80447,             0.70349,             0.73252,             0.48263,            0.029014,           0.0065767,           0.0087416,           0.0095717,           0.0095717,           0.0095717
                   9,            0.034704,            0.011808,            0.014057,             0.77846,             0.72057,             0.72665,             0.45196,            0.030433,           0.0064613,           0.0082098,           0.0094434,           0.0094434,           0.0094434
                  10,            0.033629,            0.011581,            0.013103,             0.72595,             0.72907,             0.73806,             0.49512,            0.027809,           0.0064567,           0.0075913,           0.0092995,           0.0092995,           0.0092995
                  11,            0.033003,            0.011328,            0.012668,             0.82957,             0.72326,             0.76181,             0.51479,             0.02741,           0.0062407,           0.0077427,           0.0091406,           0.0091406,           0.0091406
                  12,            0.032501,             0.01126,            0.012235,              0.8251,              0.7202,             0.76337,             0.50807,            0.027526,           0.0062158,           0.0066718,           0.0089673,           0.0089673,           0.0089673
                  13,             0.03186,            0.011341,            0.011683,             0.82127,             0.73644,             0.76676,             0.52297,            0.026071,           0.0060627,           0.0059711,           0.0087804,           0.0087804,           0.0087804
                  14,            0.030933,            0.011227,            0.011463,             0.78512,             0.74456,             0.77246,             0.53276,            0.026297,           0.0058999,           0.0058526,           0.0085805,           0.0085805,           0.0085805
                  15,            0.030662,            0.011118,            0.011132,             0.78431,              0.7727,             0.78207,             0.55287,            0.025085,           0.0058848,           0.0054564,           0.0083684,           0.0083684,           0.0083684
                  16,             0.03021,            0.010974,            0.010411,             0.77762,             0.76037,             0.78946,             0.54344,             0.02567,           0.0060816,           0.0059068,            0.008145,            0.008145,            0.008145
                  17,            0.029624,            0.010776,            0.010179,             0.76734,             0.75654,             0.77546,             0.54629,            0.024481,           0.0058469,           0.0053404,           0.0079112,           0.0079112,           0.0079112
                  18,            0.028846,            0.010524,           0.0094451,             0.77027,              0.7568,              0.7873,             0.55449,            0.024808,           0.0057284,           0.0060934,           0.0076679,           0.0076679,           0.0076679
                  19,            0.028325,             0.01028,            0.009304,             0.85688,             0.76571,             0.79745,             0.57063,             0.02414,           0.0056431,            0.005308,            0.007416,            0.007416,            0.007416
                  20,            0.027689,            0.010218,           0.0091939,             0.86081,              0.7656,             0.79011,             0.57663,             0.02327,            0.005547,           0.0054127,           0.0071566,           0.0071566,           0.0071566
                  21,             0.02751,            0.010362,           0.0090518,              0.7756,             0.78106,             0.79436,             0.58625,            0.022606,           0.0055598,           0.0045305,           0.0068906,           0.0068906,           0.0068906
                  22,            0.027043,            0.010104,           0.0084131,             0.76684,             0.79292,             0.80279,             0.58291,            0.023804,           0.0054215,           0.0046642,           0.0066191,           0.0066191,           0.0066191
                  23,            0.026671,            0.010013,           0.0080658,             0.78693,             0.78509,              0.8056,             0.59096,            0.022603,           0.0053641,           0.0046489,           0.0063432,           0.0063432,           0.0063432
                  24,            0.026237,           0.0099956,           0.0080824,             0.78107,              0.8182,             0.81034,             0.59705,            0.022387,           0.0053406,           0.0046997,            0.006064,            0.006064,            0.006064
                  25,            0.025774,           0.0097099,           0.0076215,             0.75518,             0.80403,             0.80386,              0.5972,            0.021918,            0.005252,           0.0040474,           0.0057826,           0.0057826,           0.0057826
                  26,            0.025378,           0.0097322,            0.007491,             0.78483,             0.76833,             0.79663,             0.59152,            0.021961,           0.0053892,           0.0042283,              0.0055,              0.0055,              0.0055
                  27,            0.025217,           0.0098964,           0.0077024,             0.79939,             0.75339,             0.80266,              0.6018,            0.021513,           0.0054699,            0.004556,           0.0052174,           0.0052174,           0.0052174
                  28,             0.02448,           0.0094618,           0.0070858,             0.75213,              0.8092,             0.80871,             0.60389,            0.021383,           0.0053383,           0.0041151,            0.004936,            0.004936,            0.004936
                  29,            0.024064,           0.0093854,           0.0067385,             0.77073,             0.80975,             0.81151,              0.6177,             0.02121,           0.0052782,           0.0041806,           0.0046568,           0.0046568,           0.0046568
                  30,            0.023798,           0.0092897,           0.0066658,             0.75014,             0.83267,             0.82031,             0.61755,            0.021377,            0.005268,           0.0040829,           0.0043809,           0.0043809,           0.0043809
                  31,            0.023619,           0.0091346,           0.0065922,             0.74971,             0.81175,             0.81476,              0.6291,               0.021,            0.005261,           0.0041004,           0.0041094,           0.0041094,           0.0041094
                  32,            0.023252,           0.0093051,           0.0061212,             0.75473,             0.83523,             0.81803,             0.62158,             0.02078,           0.0051283,           0.0037433,           0.0038434,           0.0038434,           0.0038434
                  33,            0.022734,           0.0091254,           0.0060051,             0.78633,             0.79648,             0.81829,             0.62169,             0.02066,           0.0052429,           0.0037068,            0.003584,            0.003584,            0.003584
                  34,             0.02241,           0.0090341,           0.0055623,             0.74514,             0.84546,              0.8201,             0.63382,            0.019885,             0.00506,           0.0037088,           0.0033321,           0.0033321,           0.0033321
                  35,            0.022252,           0.0090628,           0.0061037,             0.74275,             0.80582,              0.8163,             0.62877,            0.020171,           0.0050907,           0.0040056,           0.0030888,           0.0030888,           0.0030888
                  36,            0.021861,           0.0089258,           0.0056492,             0.75384,              0.8419,             0.82005,               0.634,             0.02032,           0.0050603,           0.0038392,            0.002855,            0.002855,            0.002855
                  37,            0.021655,           0.0086972,           0.0054003,             0.73714,             0.82542,             0.81362,             0.63169,            0.020077,            0.005099,           0.0037584,           0.0026316,           0.0026316,           0.0026316
                  38,            0.021471,           0.0086512,           0.0051081,             0.74181,              0.8528,             0.83118,             0.64235,            0.019957,           0.0050311,           0.0034803,           0.0024195,           0.0024195,           0.0024195
                  39,            0.021098,           0.0087313,            0.005184,              0.7755,             0.83407,             0.82789,             0.64362,             0.01999,           0.0049688,           0.0035017,           0.0022196,           0.0022196,           0.0022196
                  40,            0.020789,           0.0083912,           0.0049253,             0.76452,             0.84656,             0.82165,              0.6329,            0.019782,           0.0049966,           0.0038228,           0.0020327,           0.0020327,           0.0020327
                  41,            0.020625,           0.0083209,           0.0047715,             0.74643,             0.84974,              0.8226,             0.63467,            0.019751,            0.005049,           0.0037385,           0.0018594,           0.0018594,           0.0018594
                  42,            0.020187,           0.0083911,           0.0046831,             0.73427,             0.84366,             0.82105,             0.63722,            0.019723,            0.005074,           0.0036652,           0.0017005,           0.0017005,           0.0017005
