               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.026885,            0.011347,            0.005724,             0.78337,             0.89006,             0.84873,             0.66493,            0.018311,            0.005423,           0.0015932,           0.0065505,           0.0065505,           0.0065505
                  36,            0.026696,             0.01092,           0.0056402,             0.76885,             0.90889,             0.85064,             0.66655,             0.01825,           0.0052624,           0.0015045,           0.0063779,           0.0063779,           0.0063779
                  37,            0.026292,            0.011044,           0.0054885,             0.76322,             0.92233,             0.85909,             0.67038,            0.018252,           0.0053064,            0.001633,            0.006204,            0.006204,            0.006204
                  38,            0.025974,            0.010976,           0.0052539,              0.7686,             0.92237,             0.85462,              0.6738,            0.017921,           0.0052311,           0.0014834,           0.0060289,           0.0060289,           0.0060289
                  39,            0.025858,            0.010986,           0.0052226,             0.78097,             0.91493,             0.86592,             0.67986,            0.018012,           0.0052171,           0.0014485,           0.0058531,           0.0058531,           0.0058531
                  40,            0.025602,            0.011007,           0.0054699,             0.78792,             0.90199,             0.87172,             0.69049,            0.017762,           0.0054002,           0.0015131,           0.0056767,           0.0056767,           0.0056767
                  41,            0.025668,            0.010743,           0.0049644,             0.79471,             0.89007,             0.86714,             0.68792,            0.017842,           0.0052314,           0.0014907,              0.0055,              0.0055,              0.0055
                  42,            0.025504,            0.010807,            0.005225,             0.80133,             0.91164,             0.87317,             0.69122,            0.017862,           0.0050553,           0.0014847,           0.0053233,           0.0053233,           0.0053233
                  43,            0.025223,            0.010628,            0.005031,             0.77707,              0.9124,             0.86552,             0.68885,            0.017418,           0.0051757,           0.0015908,           0.0051469,           0.0051469,           0.0051469
                  44,            0.025102,            0.010412,           0.0048199,             0.79728,              0.9006,             0.86626,             0.68416,            0.017533,           0.0052157,           0.0013975,           0.0049711,           0.0049711,           0.0049711
                  45,            0.024857,            0.010492,           0.0050019,             0.77899,             0.90347,             0.86922,             0.69324,            0.017372,           0.0051816,            0.001311,            0.004796,            0.004796,            0.004796
                  46,            0.024557,            0.010397,           0.0047652,             0.79084,             0.90627,             0.86787,             0.68992,            0.017316,           0.0051781,           0.0013161,           0.0046221,           0.0046221,           0.0046221
                  47,            0.024234,            0.010287,           0.0044278,             0.80749,             0.88357,             0.86821,              0.6915,            0.017245,           0.0051729,           0.0012209,           0.0044495,           0.0044495,           0.0044495
                  48,            0.024555,            0.010309,           0.0046362,             0.79542,             0.90126,             0.86607,             0.69189,            0.017223,           0.0051687,           0.0011993,           0.0042785,           0.0042785,           0.0042785
                  49,            0.024141,            0.010298,           0.0045392,              0.7602,             0.90813,              0.8525,             0.67704,             0.01746,           0.0052609,           0.0013019,           0.0041094,           0.0041094,           0.0041094
                  50,            0.023838,            0.010163,           0.0045549,             0.77844,             0.91077,              0.8621,             0.68872,            0.017094,           0.0051218,           0.0012503,           0.0039425,           0.0039425,           0.0039425
                  51,            0.023799,            0.010063,            0.004428,             0.79816,             0.88916,              0.8654,             0.69295,             0.01711,           0.0051909,           0.0011262,           0.0037779,           0.0037779,           0.0037779
                  52,            0.023842,            0.010315,           0.0042762,             0.80134,             0.87305,             0.86961,             0.69738,            0.016949,           0.0051779,           0.0010752,            0.003616,            0.003616,            0.003616
                  53,            0.023541,            0.010214,           0.0040884,             0.76489,             0.91829,               0.871,              0.6987,            0.016892,           0.0051151,          0.00098033,            0.003457,            0.003457,            0.003457
                  54,            0.023315,            0.010128,           0.0040941,             0.76916,             0.91694,             0.86882,             0.69863,            0.016925,           0.0051664,           0.0010259,           0.0033012,           0.0033012,           0.0033012
                  55,            0.023103,           0.0097283,           0.0040201,             0.79161,             0.89156,             0.87037,              0.6963,             0.01691,           0.0051215,           0.0010422,           0.0031488,           0.0031488,           0.0031488
                  56,            0.023037,            0.010021,           0.0041451,             0.78151,             0.90651,             0.87247,             0.69959,            0.016795,           0.0051184,            0.000963,           0.0029999,           0.0029999,           0.0029999
                  57,            0.022973,           0.0099407,           0.0040012,             0.77875,             0.91987,             0.87679,             0.70313,            0.016921,           0.0050811,           0.0010073,            0.002855,            0.002855,            0.002855
                  58,            0.022681,           0.0097408,           0.0040239,             0.79813,             0.88594,             0.86685,             0.69624,            0.016898,            0.005149,           0.0011422,           0.0027141,           0.0027141,           0.0027141
                  59,              0.0224,           0.0096612,           0.0038948,             0.76307,             0.92185,             0.86566,             0.69409,              0.0169,           0.0051828,           0.0010872,           0.0025775,           0.0025775,           0.0025775
                  60,            0.022437,           0.0097788,           0.0039293,             0.77864,             0.90451,             0.86627,             0.69994,            0.016667,            0.005144,          0.00098103,           0.0024454,           0.0024454,           0.0024454
                  61,            0.022181,           0.0096003,           0.0035979,             0.77533,             0.91269,             0.86809,             0.70094,            0.016757,           0.0051599,           0.0011163,            0.002318,            0.002318,            0.002318
                  62,            0.022281,           0.0097284,           0.0036589,             0.80619,             0.89307,             0.87271,             0.70534,            0.016762,            0.005085,          0.00098687,           0.0021955,           0.0021955,           0.0021955
                  63,            0.021914,           0.0095204,           0.0033328,             0.78571,             0.90306,             0.87118,             0.70466,            0.016754,           0.0050946,          0.00098203,           0.0020782,           0.0020782,           0.0020782
                  64,              0.0219,            0.009501,           0.0035701,             0.80241,             0.89058,             0.87117,             0.70444,            0.016575,           0.0050818,          0.00093428,           0.0019661,           0.0019661,           0.0019661
                  65,            0.021977,           0.0096081,             0.00367,             0.78133,             0.91399,              0.8706,             0.70666,            0.016521,           0.0050904,          0.00095162,           0.0018594,           0.0018594,           0.0018594
                  66,            0.021861,           0.0095602,           0.0035725,             0.79117,             0.89874,              0.8707,             0.70384,            0.016509,           0.0050895,          0.00084889,           0.0017584,           0.0017584,           0.0017584
                  67,             0.02157,           0.0095232,           0.0036087,             0.78795,             0.90635,             0.87196,             0.70687,            0.016463,           0.0051059,          0.00090936,           0.0016631,           0.0016631,           0.0016631
                  68,            0.021302,           0.0092017,           0.0032501,             0.78679,             0.90158,             0.86985,             0.70481,             0.01652,           0.0050976,          0.00082058,           0.0015738,           0.0015738,           0.0015738
                  69,            0.021434,           0.0092411,           0.0035751,             0.80158,              0.8944,             0.87014,             0.70354,            0.016503,           0.0051082,           0.0007918,           0.0014905,           0.0014905,           0.0014905
                  70,            0.021502,           0.0092742,           0.0034108,              0.7791,             0.92346,             0.87313,             0.70891,            0.016484,           0.0050748,          0.00077278,           0.0014134,           0.0014134,           0.0014134
                  71,            0.021182,           0.0091114,           0.0037002,             0.78442,             0.91001,             0.86987,             0.70661,            0.016381,           0.0050724,          0.00078333,           0.0013425,           0.0013425,           0.0013425
                  72,            0.021213,           0.0092151,            0.003426,             0.79217,             0.90308,             0.86991,             0.70794,            0.016392,            0.005082,          0.00086585,           0.0012781,           0.0012781,           0.0012781
                  73,            0.020826,           0.0091059,           0.0031445,             0.79464,             0.90113,              0.8693,             0.70599,              0.0164,           0.0051032,          0.00085539,           0.0012202,           0.0012202,           0.0012202
                  74,             0.02097,           0.0089642,           0.0032064,             0.78496,             0.90616,             0.86918,             0.70836,            0.016312,           0.0050933,          0.00083584,            0.001169,            0.001169,            0.001169
                  75,            0.020646,           0.0092805,           0.0029761,              0.7961,              0.8872,             0.86667,             0.70585,            0.016321,           0.0050924,          0.00078741,           0.0011243,           0.0011243,           0.0011243
                  76,            0.020755,           0.0091579,           0.0031237,             0.79404,             0.88794,             0.86971,             0.71097,            0.016259,           0.0050672,           0.0007675,           0.0010865,           0.0010865,           0.0010865
                  77,            0.020784,           0.0090349,           0.0032777,             0.78799,             0.89731,             0.86946,              0.7106,            0.016285,           0.0050437,          0.00076957,           0.0010554,           0.0010554,           0.0010554
                  78,            0.020681,           0.0089988,           0.0030732,             0.80177,             0.88273,             0.87229,               0.712,            0.016256,           0.0050295,           0.0007635,           0.0010312,           0.0010312,           0.0010312
                  79,            0.020708,           0.0091944,           0.0031367,             0.78843,             0.89777,             0.87246,             0.71181,            0.016211,           0.0050423,          0.00077717,           0.0010139,           0.0010139,           0.0010139
