               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.014789,           0.0025713,           0.0029599,             0.77176,             0.87236,              0.8135,             0.63214,            0.010308,           0.0011965,           0.0012861,           0.0021207,           0.0021207,           0.0021207
                  36,            0.014718,           0.0024881,            0.002862,             0.77543,             0.88356,             0.82701,             0.64752,            0.010181,           0.0011604,           0.0012455,           0.0020667,           0.0020667,           0.0020667
                  37,            0.014484,           0.0025372,           0.0028192,             0.76194,             0.89614,             0.83303,             0.65643,            0.010146,           0.0011777,           0.0011702,           0.0020123,           0.0020123,           0.0020123
                  38,            0.014462,              0.0025,           0.0027533,             0.77481,             0.87822,             0.81938,             0.64305,            0.010191,           0.0011797,            0.001176,           0.0019575,           0.0019575,           0.0019575
                  39,            0.014447,           0.0025131,           0.0027249,             0.77499,             0.88614,             0.82592,             0.65028,            0.010089,           0.0011762,           0.0010952,           0.0019025,           0.0019025,           0.0019025
                  40,            0.014209,           0.0025409,           0.0027767,             0.76281,             0.89121,             0.82702,             0.65324,            0.010043,           0.0011798,           0.0010761,           0.0018473,           0.0018473,           0.0018473
                  41,            0.014243,           0.0024674,           0.0026011,             0.76321,             0.88743,             0.83234,             0.65993,           0.0099759,           0.0011777,          0.00098707,            0.001792,            0.001792,            0.001792
                  42,            0.014174,           0.0024787,           0.0026055,             0.76802,             0.88591,             0.83731,             0.66338,           0.0099512,           0.0011573,          0.00097508,           0.0017367,           0.0017367,           0.0017367
                  43,            0.013886,           0.0024208,           0.0025324,              0.7745,             0.87955,             0.82937,             0.65933,           0.0098988,           0.0011667,          0.00095648,           0.0016815,           0.0016815,           0.0016815
                  44,            0.013856,           0.0023893,           0.0025678,             0.77744,             0.87692,              0.8345,             0.66241,           0.0099058,             0.00117,          0.00096734,           0.0016265,           0.0016265,           0.0016265
                  45,            0.013717,             0.00241,           0.0024963,             0.77109,             0.88503,             0.82971,             0.66148,            0.009896,           0.0011745,          0.00092694,           0.0015717,           0.0015717,           0.0015717
                  46,            0.013721,           0.0023999,           0.0023574,             0.75558,             0.90422,             0.83286,             0.66214,            0.009859,           0.0011589,          0.00086486,           0.0015173,           0.0015173,           0.0015173
                  47,            0.013589,           0.0023939,           0.0023447,             0.77623,             0.88561,             0.83461,             0.66276,           0.0098217,             0.00116,          0.00084861,           0.0014633,           0.0014633,           0.0014633
                  48,            0.013632,            0.002387,           0.0023102,             0.77633,             0.88787,             0.83743,             0.66369,            0.009825,           0.0011623,          0.00079033,           0.0014098,           0.0014098,           0.0014098
                  49,            0.013443,           0.0024032,           0.0023338,             0.75116,             0.91528,             0.84069,             0.66947,           0.0098097,           0.0011531,          0.00079682,           0.0013569,           0.0013569,           0.0013569
                  50,            0.013385,           0.0023707,           0.0023091,             0.76887,             0.88902,              0.8351,             0.66729,           0.0097244,            0.001152,          0.00079047,           0.0013047,           0.0013047,           0.0013047
                  51,            0.013242,           0.0023568,           0.0022526,             0.76239,             0.89188,             0.83191,             0.66358,           0.0097159,           0.0011638,          0.00078519,           0.0012532,           0.0012532,           0.0012532
                  52,             0.01336,           0.0023777,            0.002253,             0.77473,             0.87289,             0.82995,             0.66148,           0.0096897,           0.0011599,          0.00075716,           0.0012025,           0.0012025,           0.0012025
                  53,            0.013228,           0.0023983,           0.0021987,              0.7565,             0.90102,             0.83016,             0.66523,           0.0096562,           0.0011666,          0.00073644,           0.0011528,           0.0011528,           0.0011528
                  54,            0.013195,            0.002382,           0.0021006,             0.76992,             0.89504,             0.83727,             0.66776,           0.0097523,           0.0011613,          0.00072061,            0.001104,            0.001104,            0.001104
                  55,            0.013057,           0.0022879,           0.0020664,             0.76457,             0.89527,             0.83766,             0.67029,           0.0096853,           0.0011642,          0.00068122,           0.0010563,           0.0010563,           0.0010563
                  56,            0.013038,           0.0023617,           0.0020745,             0.76323,             0.90074,             0.83644,             0.66974,           0.0096646,           0.0011544,          0.00065588,           0.0010098,           0.0010098,           0.0010098
                  57,            0.013007,           0.0023892,           0.0021545,             0.75811,             0.89283,             0.83528,             0.66757,           0.0097318,            0.001174,          0.00068571,           0.0009644,           0.0009644,           0.0009644
                  58,            0.012948,           0.0023062,           0.0021129,             0.76462,              0.8911,             0.83346,             0.66821,            0.009659,           0.0011622,           0.0006545,          0.00092032,          0.00092032,          0.00092032
                  59,            0.012797,           0.0022977,           0.0020528,             0.75751,             0.90033,             0.83453,             0.66716,           0.0096467,            0.001153,          0.00061406,          0.00087758,          0.00087758,          0.00087758
                  60,            0.012828,           0.0023198,           0.0020417,             0.77284,             0.89496,              0.8372,              0.6697,           0.0096229,           0.0011508,          0.00060445,          0.00083625,          0.00083625,          0.00083625
                  61,            0.012738,           0.0023057,           0.0019541,             0.77971,             0.87821,             0.83787,             0.67067,           0.0096461,           0.0011569,           0.0005982,          0.00079639,          0.00079639,          0.00079639
                  62,            0.012841,           0.0023359,           0.0019279,             0.77168,             0.89518,             0.83659,             0.67077,           0.0096184,            0.001157,          0.00059023,          0.00075807,          0.00075807,          0.00075807
                  63,            0.012572,           0.0022935,             0.00182,             0.77657,             0.89325,             0.83967,             0.67227,           0.0096601,           0.0011459,          0.00056541,          0.00072135,          0.00072135,          0.00072135
                  64,              0.0125,           0.0022861,           0.0018551,             0.77505,             0.89093,             0.83775,             0.67142,           0.0096345,           0.0011524,          0.00055848,          0.00068627,          0.00068627,          0.00068627
                  65,             0.01264,           0.0023185,             0.00198,             0.77604,             0.88268,             0.83985,             0.67574,            0.009615,           0.0011474,          0.00055817,           0.0006529,           0.0006529,           0.0006529
                  66,            0.012579,           0.0023145,           0.0019359,             0.78183,             0.87564,             0.84403,             0.67669,           0.0095747,           0.0011536,          0.00055034,          0.00062129,          0.00062129,          0.00062129
                  67,            0.012517,           0.0023279,           0.0020153,             0.77402,             0.88714,             0.84079,             0.67485,           0.0095644,           0.0011529,          0.00054109,          0.00059148,          0.00059148,          0.00059148
                  68,            0.012366,           0.0022644,           0.0018442,             0.77815,             0.88869,             0.84066,             0.67349,           0.0096209,           0.0011514,          0.00053887,          0.00056353,          0.00056353,          0.00056353
                  69,            0.012497,           0.0022569,            0.001862,             0.76678,             0.89807,             0.84082,             0.67365,           0.0096155,           0.0011493,          0.00053901,          0.00053746,          0.00053746,          0.00053746
                  70,            0.012524,           0.0022572,           0.0018827,             0.76778,             0.90402,             0.84345,             0.67696,           0.0095736,            0.001153,          0.00052515,          0.00051333,          0.00051333,          0.00051333
                  71,            0.012395,           0.0022299,           0.0019365,             0.77385,             0.89163,             0.83964,              0.6743,           0.0095841,           0.0011535,           0.0005094,          0.00049118,          0.00049118,          0.00049118
                  72,            0.012345,           0.0022556,           0.0018883,             0.77792,             0.89347,             0.84215,             0.67719,           0.0095775,           0.0011534,          0.00050478,          0.00047103,          0.00047103,          0.00047103
                  73,            0.012197,           0.0022513,           0.0017638,             0.77042,             0.89809,             0.84216,             0.67665,            0.009587,           0.0011612,          0.00048907,          0.00045291,          0.00045291,          0.00045291
                  74,            0.012243,            0.002202,           0.0017986,             0.77606,             0.89015,             0.84209,             0.67752,           0.0095517,           0.0011567,          0.00048508,          0.00043686,          0.00043686,          0.00043686
                  75,            0.012144,           0.0023009,           0.0017999,             0.77539,              0.8918,             0.84202,             0.67783,            0.009549,           0.0011546,          0.00047286,           0.0004229,           0.0004229,           0.0004229
                  76,            0.012299,           0.0022723,           0.0018543,             0.77323,             0.89445,             0.84345,             0.67872,           0.0095336,           0.0011582,          0.00045817,          0.00041105,          0.00041105,          0.00041105
                  77,            0.012326,           0.0022484,           0.0018156,             0.77805,             0.89018,             0.84518,             0.67971,           0.0095361,           0.0011486,          0.00046085,          0.00040133,          0.00040133,          0.00040133
                  78,            0.012179,           0.0022166,            0.001737,             0.77294,             0.89607,               0.845,             0.68087,           0.0095374,           0.0011513,          0.00046544,          0.00039376,          0.00039376,          0.00039376
                  79,            0.012282,           0.0022719,           0.0018242,             0.77201,             0.88845,             0.84426,             0.68123,           0.0095283,           0.0011533,          0.00045371,          0.00038834,          0.00038834,          0.00038834
